2026-04-24 12:20:47 | INFO | app.core.logging:44 | Logging initialised | level=INFO | log_dir=C:\Users\rajku\Downloads\neuro-ai-platform\neuro-ai-platform\logs
2026-04-24 12:22:12 | INFO | app.main:33 | Starting Neuro-AI Platform v1
2026-04-24 12:22:13 | INFO | app.models.model_registry:67 | CNN model loaded | version=v1 | path=C:\Users\rajku\Downloads\neuro-ai-platform\neuro-ai-platform\saved_models\cnn_seizure_detector_v1.pt
2026-04-24 12:22:13 | INFO | app.main:44 | Model loaded successfully. Inference service ready.
2026-04-24 12:23:03 | INFO | app.core.logging:44 | Logging initialised | level=INFO | log_dir=C:\Users\rajku\Downloads\neuro-ai-platform\neuro-ai-platform\logs
2026-04-24 12:24:01 | INFO | app.main:33 | Starting Neuro-AI Platform v1
2026-04-24 12:24:02 | INFO | app.models.model_registry:67 | CNN model loaded | version=v1 | path=C:\Users\rajku\Downloads\neuro-ai-platform\neuro-ai-platform\saved_models\cnn_seizure_detector_v1.pt
2026-04-24 12:24:02 | INFO | app.main:44 | Model loaded successfully. Inference service ready.
2026-04-24 12:24:02 | INFO | app.main:55 | Shutting down Neuro-AI Platform.
2026-04-24 12:34:07 | INFO | ml.data_loader.edf_loader:169 | Loading EDF: tmputmejyrq.edf
2026-04-24 12:34:14 | INFO | ml.data_loader.edf_loader:202 | Loaded tmputmejyrq.edf | channels=1 | samples=4340 | duration=25.0s | seizures=0
2026-04-24 12:34:14 | INFO | ml.preprocessing.windowing:115 | Segmented tmputmejyrq.edf → 48 windows | seizure=0 (0.00%) | background=48
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.5894 | threshold=0.50 | ts=1777014255.53
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.8027 | threshold=0.50 | ts=1777014255.53
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9335 | threshold=0.50 | ts=1777014255.53
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9556 | threshold=0.50 | ts=1777014255.53
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.6831 | threshold=0.50 | ts=1777014255.54
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9139 | threshold=0.50 | ts=1777014255.54
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9286 | threshold=0.50 | ts=1777014255.54
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9634 | threshold=0.50 | ts=1777014255.54
2026-04-24 12:34:15 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9425 | threshold=0.50 | ts=1777014255.55
2026-04-24 12:34:15 | INFO | app.services.inference:250 | predict_batch | n=48 | alerts=41 (85.4%)
2026-04-24 12:34:25 | WARNING | app.services.inference:74 | 🚨 SEIZURE ALERT | confidence=0.9989 | threshold=0.50 | ts=1777014265.28
2026-04-24 12:34:25 | INFO | app.services.inference:218 | predict_window | shape=(1, 173) | prob=0.9989 | status=ALERT
